time_ps,RMSD_conformation_A,heavy_geometric_radius_A,series,included
630.0,0.80274785,5.3079104,bound_09h_1ns,True
632.0,1.1832429,5.256013,bound_09h_1ns,True
634.0,1.0561874,5.2672033,bound_09h_1ns,True
636.0,1.1155633,5.1748056,bound_09h_1ns,True
638.0,1.0805228,5.1465797,bound_09h_1ns,True
640.0,0.94820315,5.184694,bound_09h_1ns,True
642.0,0.9101018,5.2444935,bound_09h_1ns,True
644.0,1.0125734,5.154309,bound_09h_1ns,True
646.0,0.966588,5.2117147,bound_09h_1ns,True
648.0,1.0256386,5.159301,bound_09h_1ns,True
650.0,0.8354871,5.175912,bound_09h_1ns,True
652.0,1.0544223,5.2467256,bound_09h_1ns,True
654.0,1.0636226,5.2401786,bound_09h_1ns,True
656.0,1.117229,5.3185196,bound_09h_1ns,True
658.0,1.0478945,5.2208652,bound_09h_1ns,True
660.0,1.0235723,5.3215637,bound_09h_1ns,True
662.0,1.1159365,5.2732034,bound_09h_1ns,True
664.0,1.0878193,5.2672977,bound_09h_1ns,True
666.0,0.9028143,5.260101,bound_09h_1ns,True
668.0,0.8418324,5.2618027,bound_09h_1ns,True
670.0,0.7082783,5.214458,bound_09h_1ns,True
672.0,0.8362763,5.1752663,bound_09h_1ns,True
674.0,0.9458181,5.217054,bound_09h_1ns,True
676.0,1.0214396,5.3072634,bound_09h_1ns,True
678.0,1.0795779,5.148987,bound_09h_1ns,True
680.0,0.98710454,5.2282195,bound_09h_1ns,True
682.0,0.96566844,5.290888,bound_09h_1ns,True
684.0,0.9707559,5.2072897,bound_09h_1ns,True
686.0,1.0859592,5.137953,bound_09h_1ns,True
688.0,0.762653,5.196121,bound_09h_1ns,True
690.0,0.7296693,5.182472,bound_09h_1ns,True
692.0,0.9892149,5.176535,bound_09h_1ns,True
694.0,0.9079056,5.24822,bound_09h_1ns,True
696.0,1.1058064,5.1957316,bound_09h_1ns,True
698.0,0.79503626,5.3342433,bound_09h_1ns,True
700.0,0.9052371,5.277151,bound_09h_1ns,True
702.0,0.79311466,5.2146683,bound_09h_1ns,True
704.0,1.0212653,5.355041,bound_09h_1ns,True
706.0,1.1088895,5.2129793,bound_09h_1ns,True
708.0,1.0762928,5.1532497,bound_09h_1ns,True
710.0,1.0726389,5.2254934,bound_09h_1ns,True
712.0,0.75811696,5.2681484,bound_09h_1ns,True
714.0,1.1104136,5.2367077,bound_09h_1ns,True
716.0,0.85051066,5.350718,bound_09h_1ns,True
718.0,1.1151357,5.378568,bound_09h_1ns,True
720.0,0.8684527,5.268627,bound_09h_1ns,True
722.0,0.90158814,5.2207575,bound_09h_1ns,True
724.0,0.9011331,5.269861,bound_09h_1ns,True
726.0,1.2078713,5.2387266,bound_09h_1ns,True
728.0,1.0213368,5.2295833,bound_09h_1ns,True
