time_ps,RMSD_conformation_A,heavy_geometric_radius_A,protein_CA_RMSD_A,ligand_EGFR_fit_RMSD_A,site_center_distance_A,series,included
1360.0,1.2664576,5.2969313,4.751075,4.324113,0.30358478,replica_01_seed20260931,False
1370.0,1.4110556,5.3001304,4.8206053,4.254425,0.6102132,replica_01_seed20260931,False
1380.0,1.4097157,5.245365,4.6557612,4.4291463,0.54424393,replica_01_seed20260931,False
1390.0,1.6741958,5.179203,4.4230876,4.2809024,0.47140047,replica_01_seed20260931,False
1400.0,1.3728977,5.2073526,4.659158,4.4986973,0.6531322,replica_01_seed20260931,False
1410.0,1.4460382,5.253495,4.7244873,4.315024,0.5793636,replica_01_seed20260931,False
1420.0,1.5525532,5.1855288,4.663076,4.189639,0.71905935,replica_01_seed20260931,False
1430.0,1.5330145,5.107257,4.5453634,4.592385,0.34376773,replica_01_seed20260931,False
1440.0,1.5100764,5.2383585,4.5525465,4.0493283,0.52683365,replica_01_seed20260931,False
1450.0,1.6143389,5.31241,4.6499414,4.4642262,0.57507956,replica_01_seed20260931,False
1460.0,1.8864793,5.10448,4.5501547,4.2530904,0.9262084,replica_01_seed20260931,False
1470.0,1.8100624,5.315132,4.6889186,4.157774,0.7310021,replica_01_seed20260931,False
1480.0,1.672812,5.1622243,4.5673,3.68078,0.7629695,replica_01_seed20260931,False
1490.0,1.415616,5.3187046,4.5090666,3.6116292,0.81282026,replica_01_seed20260931,False
1500.0,1.5023857,5.2042427,4.5788507,3.631841,1.0349184,replica_01_seed20260931,False
1510.0,1.484648,5.3058853,4.4533978,3.8612523,0.800823,replica_01_seed20260931,False
1520.0,1.7524705,5.3634458,4.4005637,3.7740273,0.7238466,replica_01_seed20260931,False
1530.0,1.4794959,5.14883,4.3341928,3.8473308,0.4831056,replica_01_seed20260931,False
1540.0,1.8337129,5.29821,4.402948,3.8777642,0.58438134,replica_01_seed20260931,False
1550.0,1.7019479,5.1827245,4.309991,3.8116848,0.5850598,replica_01_seed20260931,False
1560.0,1.6396966,5.340955,4.663361,3.510213,0.65876746,replica_01_seed20260931,False
